PHI:I591	PHI:577	Wild-type mutualism
PHI:I1111	PHI:1136	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1112	PHI:1137	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1113	PHI:1138	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1114	PHI:1139	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1115	PHI:1140	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1116	PHI:1141	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1117	PHI:1142	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I1119	PHI:1144	Partially lostAx21 (synonym: AvrXa21) activity/affected bacterial pathogenicity
PHI:I1120	PHI:1145	Partially lost Ax21 (synonym: AvrXa21) activity
PHI:I3876	PHI:3177	unaffected pathogeniticity
PHI:I3882	PHI:3180	unaffected pathogeniticity
PHI:I3894	PHI:3210	unaffected pathogeniticity
PHI:I3898	PHI:3214	unaffected pathogeniticity
PHI:I3902	PHI:3214	unaffected pathogeniticity
PHI:I3906	PHI:3219	unaffected pathogeniticity
PHI:I3907	PHI:3220	unaffected pathogeniticity
PHI:I3913	PHI:3225	unaffected pathogeniticity
PHI:I3915	PHI:3227	unaffected pathogeniticity
PHI:I3916	PHI:3228	unaffected pathogeniticity
PHI:I3917	PHI:3229	unaffected pathogeniticity
PHI:I3918	PHI:3230	unaffected pathogeniticity
PHI:I3919	PHI:3231	unaffected pathogeniticity
PHI:I3920	PHI:3232	unaffected pathogeniticity
PHI:I3921	PHI:3233	unaffected pathogeniticity
PHI:I3929	PHI:3237	unaffected pathogeniticity
PHI:I3930	PHI:3238	unaffected pathogeniticity
PHI:I3931	PHI:3237	unaffected pathogeniticity
PHI:I3945	PHI:3265	unaffected pathogeniticity
PHI:I3948	PHI:3268	unaffected pathogeniticity
PHI:I3953	PHI:3272	unaffected pathogeniticity
PHI:I3955	PHI:3274	unaffected pathogeniticity
PHI:I3956	PHI:3275	unaffected pathogeniticity
PHI:I3957	PHI:3276	unaffected pathogeniticity
PHI:I3970	PHI:3289	unaffected pathogeniticity
PHI:I3981	PHI:3299	unaffected pathogeniticity
PHI:I3982	PHI:3300	unaffected pathogeniticity
PHI:I3983	PHI:3301	unaffected pathogeniticity
PHI:I4004	PHI:3324	unaffected pathogeniticity
PHI:I4006	PHI:3328	unaffected pathogeniticity
PHI:I4018	PHI:3335	unaffected pathogeniticity
PHI:I4020	PHI:3336	unaffected pathogeniticity
PHI:I4021	PHI:3337	unaffected pathogeniticity
PHI:I4022	PHI:3338	unaffected pathogeniticity
PHI:I4023	PHI:3339	unaffected pathogeniticity
PHI:I4024	PHI:3340	unaffected pathogeniticity
PHI:I4025	PHI:3341	unaffected pathogeniticity
PHI:I4029	PHI:3347	unaffected pathogeniticity
PHI:I4030	PHI:3347	unaffected pathogeniticity
PHI:I4031	PHI:3347	unaffected pathogeniticity
PHI:I4039	PHI:3355	unaffected pathogeniticity
PHI:I4040	PHI:3356	unaffected pathogeniticity
PHI:I4041	PHI:3355	unaffected pathogeniticity
PHI:I4042	PHI:3356	unaffected pathogeniticity
PHI:I4053	PHI:3369	unaffected pathogeniticity
PHI:I4063	PHI:3378	unaffected pathogeniticity
PHI:I4064	PHI:3380	unaffected pathogeniticity
PHI:I4065	PHI:3381	unaffected pathogeniticity
PHI:I4066	PHI:3382	unaffected pathogeniticity
PHI:I4067	PHI:3383	unaffected pathogeniticity
PHI:I4068	PHI:3384	unaffected pathogeniticity
PHI:I4069	PHI:3385	unaffected pathogeniticity
PHI:I4070	PHI:3386	unaffected pathogeniticity
PHI:I4071	PHI:3387	unaffected pathogeniticity
PHI:I4072	PHI:3388	unaffected pathogeniticity
PHI:I4073	PHI:3389	unaffected pathogeniticity
PHI:I4074	PHI:3390	unaffected pathogeniticity
PHI:I4075	PHI:3391	unaffected pathogeniticity
PHI:I4076	PHI:3392	unaffected pathogeniticity
PHI:I4077	PHI:3394	unaffected pathogeniticity
PHI:I4078	PHI:3395	unaffected pathogeniticity
PHI:I4079	PHI:3396	unaffected pathogeniticity
PHI:I4080	PHI:3397	unaffected pathogeniticity
PHI:I4081	PHI:3398	unaffected pathogeniticity
PHI:I4082	PHI:3399	unaffected pathogeniticity
PHI:I4083	PHI:3400	unaffected pathogeniticity
PHI:I4084	PHI:3401	unaffected pathogeniticity
PHI:I4085	PHI:3402	unaffected pathogeniticity
PHI:I4086	PHI:3403	unaffected pathogeniticity
PHI:I4087	PHI:3404	unaffected pathogeniticity
PHI:I4088	PHI:3407	unaffected pathogeniticity
PHI:I4089	PHI:3408	unaffected pathogeniticity
PHI:I4090	PHI:3409	unaffected pathogeniticity
PHI:I4105	PHI:3433	unaffected pathogeniticity
PHI:I4106	PHI:3434	unaffected pathogeniticity
PHI:I4108	PHI:3436	unaffected pathogeniticity
PHI:I4116	PHI:3437	unaffected pathogeniticity
PHI:I4117	PHI:3438	unaffected pathogeniticity
PHI:I4118	PHI:3437	unaffected pathogeniticity
PHI:I4125	PHI:3440	unaffected pathogeniticity
PHI:I4126	PHI:3441	unaffected pathogeniticity
PHI:I4138	PHI:3451	unaffected pathogeniticity
