usda_id	pathogen_taxon_id	host_kingdom	num_plant_hosts	num_interactions_usda	num_interactions_plantwise
1	358	plant	Many	47	0	
2	373	plant	One	0	0	
3	337	plant	A few	0	2	
4	552	plant	Many	10	28	
5	66271	plant	A few	0	16	
6	29471	plant	Many	0	37	
7	554	plant	Many	0	73	
8	55208	plant	A few	0	0	
9	36746	plant	Many	2	73	
10	360920	plant	A few	0	6	
11	317	plant	Many	28	61	
12	321	plant	A few	1	20	
13	322	plant	A few	0	20	
14	323	plant	A few	0	3	
15	305	plant	Many	4	49	
16	1930	plant	A few	19	7	
17	85558	plant	A few	0	0	
18	346	plant	A few	0	0	
19	43353	plant	A few	0	2	
20	339	plant	Many	6	0	
21	340	plant	Many	3	25	
22	456327	plant	A few	2	0	
23	611301	plant	A few	0	0	
24	129394	plant	A few	0	4	
25	64187	plant	A few	0	18	
26	134874	plant	A few	0	0	
27	183190	plant	Many	9	49	
28	470	animal		0	0	
29	1396	animal		0	0	
30	518	animal		0	0	
31	139	animal		0	0	
32	197	animal		0	0	
33	1496	animal		0	0	
34	67780	animal		0	0	
35	498217	animal		0	0	
36	1351	animal		0	0	
37	562	animal		0	0	
38	96345	animal		0	0	
39	263	animal		0	0	
40	573	animal		0	0	
41	1639	animal		0	0	
42	1773	animal		0	0	
43	287	animal		0	0	
44	90371	animal		0	0	
45	149539	animal		0	0	
46	42897	animal		0	0	
47	1280	animal		0	0	
48	1311	animal		0	0	
49	1313	animal		0	0	
50	1314	animal		0	0	
51	1306	animal		0	0	
52	1307	animal		0	0	
53	666	animal		0	0	
54	992166	animal		0	0	
55	633	animal		0	0	
56	5599	plant	Vast	905	0	
57	29001	plant	Many	73	0	
58	135859	plant	Many	48	0	
59	160389	plant	Many	22	0	
60	5059	plant	Vast	136	0	
61	62688	plant	One	1	0	
62	62690	plant	One	1	0	
63	40559	plant	Vast	1367	0	
64	278938	plant	Many	37	0	
65	84275	plant	A few	14	0	
66	29003	plant	A few	6	0	
67	135779	plant	A few	4	0	
68	5499	plant	Many	34	0	
69	5111	plant	Vast	515	0	
70	5017	plant	Many	40	0	
71	5016	plant	Many	101	0	
72	101162	plant	Many	33	0	
73	45130	plant	Vast	374	0	
74	40125	plant	Many	40	0	
75	27357	plant	Vast	178	0	
76	27358	plant	Many	59	0	
77	5457	plant	Vast	1911	0	
78	31870	plant	Vast	342	0	
79	5462	plant	Many	100	0	
80	290576	plant	Many	61	0	
81	5465	plant	Vast	101	0	
82	5466	plant	Many	37	0	
83	35717	plant	A few	3	0	
84	5516	plant	Vast	136	0	
85	5518	plant	Vast	216	0	
86	5507	plant	Vast	707	0	
87	59765	plant		0	0	
88	61369	plant		0	0	
89	101028	plant	Many	22	0	
90	169388	plant	Vast	516	0	
91	70790	plant	A few	10	0	
92	5514	plant	Many	66	0	
93	29850	plant	A few	18	0	
94	5127	plant	Many	51	0	
95	117187	plant	Many	43	0	
96	5128	plant	Vast	132	0	
97	5563	plant	Many	32	0	
98	226899	plant	A few	13	0	
99	5022	plant	Vast	110	0	
100	148305	plant	Vast	204	0	
101	148305	plant	Many	46	0	
102	38448	plant	Many	103	0	
103	54734	plant	A few	33	0	
104	140110	plant	Vast	623	0	
105	76659	plant	A few	16	0	
106	53485	plant	Many	29	0	
107	45151	plant	Many	87	0	
108	914237	plant	A few	4	0	
109	38038	plant	Many	80	0	
110	5180	plant	Vast	684	0	
111	39703	plant	A few	17	0	
112	93612	plant	Many	37	0	
113	13684	plant	Vast	113	0	
114	5025	plant	Vast	141	0	
115	27337	plant	Vast	395	0	
116	5116	plant	Many	50	0	
117	5261	plant	Many	56	0	
118	120017	plant	Many	115	0	
119	5270	plant	A few	17	0	
120	272952	plant	A few	5	0	
121	123356	plant	Vast	330	0	
122	29920	plant	Vast	420	0	
123	4784	plant	Many	84	0	
124	4787	plant	Vast	134	0	
125	4792	plant	Vast	897	0	
126	67593	plant	Many	49	0	
127	65070	plant	Vast	285	0	
128	36090	plant	Many	0	23	
129	13131	plant	Many	0	35	
130	6303	plant	Vast	0	102	
131	13164	plant	Vast	0	115	
132	29875	fungus	A few	12	0	
133	93591	fungus	One	1	0	
134	93591	fungus		0	0	
135	746128	animal		0	0	
136	162425	animal		0	0	
137	176275	animal		0	0	
138	5039	animal		0	0	
139	5476	animal		0	0	
140	5478	animal		0	0	
141	36911	animal		0	0	
142	5480	animal		0	0	
143	5482	animal		0	0	
144	5501	animal		0	0	
145	199306	animal		0	0	
146	5970	animal		0	0	
147	5037	animal		0	0	
148	5530	animal		0	0	
149	568076	animal		0	0	
150	4932	animal		0	0	
151	5551	animal		0	0	
152	37769	animal		0	0	
153	292817	animal		0	0	
154	5207	animal		0	0	
155	178876	animal		0	0	
156	5671	animal		0	0	
157	5665	animal		0	0	
158	5811	animal		0	0	
159	5691	animal		0	0	
160	5693	animal		0	0	
