Q4HYC1	DS231669	
I1RAE5	DS231663	
I1RWL9	DS231667	
I1S2N6	DS231670	
I1RHA1	DS231664	
I1RKS2	DS231664	
I1RGH4	DS231664	
F6MFB4	JF809795	
I1REI8	DS231663	
I1RJS2	DS231664	
I1RSE4	DS231666	
I1RJM8	DS231664	
I1R980	DS231663	
I1RCN9	DS231663	
I1RGD6	DS231664	
I1RQN9	DS231665	
I1RC71	DS231663	
I1RWQ2	DS231667	
I1RN31	DS231665	
I1RQS1	DS231665	
I1RD70	DS231663	
I1RWG2	DS231667	
I1RFC7	DS231663	
I1RA20	DS231663	
I1RME6	DS231665	
I1S104	DS231669	
I1RB79	DS231663	
I1RKK5	DS231664	
I1RWQ7	DS231667	
I1RH87	DS231664	
I1RJE8	DS231664	
I1RHS7	DS231664	
I1RBM2	DS231663	
I1RSU2	DS231666	
I1S095	DS231669	
I1RLX6	DS231665	
I1S050	DS231669	
I1RQ89	DS231665	
I1RPV7	DS231665	
I1RMV6	DS231665	
I1RB84	DS231663	
I1S0Y9	DS231669	
I1S0J9	DS231669	
I1RXS5	DS231668	
I1RZS5	DS231669	
I1RY42	DS231668	
I1RPR1	DS231665	
I1RKC4	DS231664	
I1RAY2	DS231663	
I1RWM5	DS231667	
I1RZX9	DS231669	
I1RRX7	DS231666	
I1RU59	DS231666	
I1RCP1	DS231663	
I1RYQ5	DS231668	
I1RKH9	DS231664	
I1RW16	DS231667	
I1RAE2	DS231663	
I1RSK0	DS231666	
I1RKK7	DS231664	
I1RWQ0	DS231667	
I1RE92	DS231663	
I1RC85	DS231663	
I1RS32	DS231666	
I1RUG2	DS231666	
I1RS33	DS231666	
I1S5P3	DS231663	
I1S453	DS231676	
I1RT36	DS231666	
I1RDE5	DS231663	
I1RM09	DS231665	
I1RWL6	DS231667	
I1S5L1	DS231663	
I1RCK7	DS231663	
I1RT82	DS231666	
I1S0G8	DS231669	
I1RWG5	DS231667	
I1RQI2	DS231665	
I1RYF8	DS231668	
I1S042	DS231669	
I1RUC3	DS231666	
I1RNY7	DS231665	
I1RSW5	DS231666	
I1RA81	DS231663	
I1RZQ2	DS231669	
I1RKA4	DS231664	
I1S3N8	DS231671	
I1RNK3	DS231665	
I1RBW7	DS231663	
I1RNQ2	DS231665	
I1S7D0	DS231665	
I1RD19	DS231663	
Q4I5U9	DS231666	
I1RP25	DS231665	
I1RRU2	DS231666	
I1RUB2	DS231666	
I1S1V3	DS231670	
I1RJM9	DS231664	
I1RCJ5	DS231663	
Q4IB89	DS231665	
I1RWG6	DS231667	
I1RN54	DS231665	
I1RZQ3	DS231669	
I1RIV2	DS231664	
I1RP15	DS231665	
I1RT48	DS231666	
I1RZP6	DS231669	
I1RTC2	DS231666	
I1SAR3	DS231671	
I1RI73	DS231664	
I1RE83	DS231663	
I1RJS9	DS231664	
I1RZC6	DS231668	
I1RL30	DS231664	
I1RFK9	DS231663	
I1RTN5	DS231666	
I1R9J1	DS231663	
I6YDU0	JN416622	
I1RA89	DS231663	
I1RNG8	DS231665	
I1RLH1	DS231665	
I1RC35	DS231663	
I1RF58	DS231663	
I1RNF9	DS231665	
I1RR00	DS231666	
I1RAA6	DS231663	
I1RXV6	DS231668	
I1RNL3	DS231665	
I1RRG0	DS231666	
I1RN43	DS231665	
I1RKF3	DS231664	
I1REK5	DS231663	
I1RCN2	DS231663	
I1S5M8	DS231663	
I1S0S6	DS231669	
I1RV69	DS231667	
I1RS57	DS231666	
I1RUC7	DS231666	
I1S7N4	DS231665	
I1RDX3	DS231663	
I1S7R2	DS231665	
I1RU62	DS231666	
I1RFR2	DS231663	
I1S5A1	DS231663	
I1RKU0	DS231664	
I1RRQ8	DS231666	
I1RQ67	DS231665	
I1RX56	DS231667	
I1RP88	DS231665	
I1RTL1	DS231666	
I1RD16	DS231663	
I1REQ8	DS231663	
I1S1I6	DS231669	
I1S077	DS231669	
I1S9H8	DS231668	
I1RT06	DS231666	
I1RS48	DS231666	
I1RCM6	DS231663	
I1RYN5	DS231668	
I1S215	DS231670	
I1S8Y9	DS231667	
I1RCF7	DS231663	
I1RZ37	DS231668	
I1RRB9	DS231666	
I1RNH0	DS231665	
I1RF62	DS231663	
I1RYZ7	DS231668	
I1RA39	DS231663	
I1RKR8	DS231664	
